Nr,Nazwisko i imię,1.,2.,3.,4.,5.,6.
,,29,
1.,Chamarczuk Aldona,1,1,1,1,1,1
2.,Głyżewski Roman,1,1,1,1,1,1
3.,Golla Henryk,,,,,,
4.,Jęsiek-Barabasz Agnieszka,1,1,1,1,1,1
5.,Justyna Janusz,1,3,1,1,1,1
6.,Kolera Grzegorz,1,1,1,1,1,1
7.,Koronkiewicz Krzysztof,1,1,1,1,1,1
8.,Kulasek Krzysztof,1,1,1,1,1,1
9.,Pieniążkowski Jakub,1,1,1,1,1,1
10.,Piosik Łukasz,,,,,,
11.,Wegner Mariola,,,,,,
12.,Wełniak Stanisław,,,,,,
13.,Wojtuń Stanisław,1,3,1,1,1,1
14.,Zając Maciej,1,3,1,1,1,1
15.,Żelichowski Krzysztof,1,1,1,1,1,1
