Nr,Nazwisko i imię,1.,2.,3.,4.,5.
,,31,
1.,Chamarczuk Aldona,1,1,1,1,3
2.,Głyżewski Roman,1,1,1,1,3
3.,Golla Henryk,1,1,1,1,1
4.,Jęsiek-Barabasz Agnieszka,1,1,1,1,1
5.,Justyna Janusz,1,1,1,1,2
6.,Kolera Grzegorz,1,1,1,1,1
7.,Koronkiewicz Krzysztof,1,1,1,1,1
8.,Kulasek Krzysztof,1,1,1,1,1
9.,Pieniążkowski Jakub,1,1,1,1,1
10.,Piosik Łukasz,,,,1,2
11.,Wegner Mariola,1,1,1,1,1
12.,Wełniak Stanisław,1,1,1,1,1
13.,Wojtuń Stanisław,1,1,1,1,2
14.,Zając Maciej,,,,,
15.,Żelichowski Krzysztof,,,,,
